gene,n_lists_present,present_in_lists,rank_positive_H,rank_negative_R,rank_malignant_reservoir,rank_unstable_committed_malignant,rank_PKH26_High_vs_G1,mean_rank_across_present_lists,priority_score
SLCO4A1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,3,7,,3,4.333333333333333,2995.6666666666665
MARCKSL1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,8,2,,9,6.333333333333333,2993.6666666666665
LGALS3BP,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,5,16,,2,7.666666666666667,2992.3333333333335
ABR,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,,22,,1,6,9.666666666666666,2990.3333333333335
GALNT10,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,28,4,,4,12.0,2988.0
COL6A1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,1,35,,1,12.333333333333334,2987.6666666666665
GSN,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,37,5,,5,15.666666666666666,2984.3333333333335
FN1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,6,36,,7,16.333333333333332,2983.6666666666665
ABCC3,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,,18,,7,26,17.0,2983.0
DDX17,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,31,17,,18,22.0,2978.0
TMEM131,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,,30,,14,31,25.0,2975.0
MAGI1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,34,40,,19,31.0,2969.0
ESYT2,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,,23,,41,37,33.666666666666664,2966.3333333333335
GALNT5,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,33,20,,50,34.333333333333336,2965.6666666666665
NET1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,41,44,,20,35.0,2965.0
ARL4C,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,,44,41,,38,41.0,2959.0
PHLDA2,2,positive_H;negative_R,1,2,,,,1.5,1998.5
GNAS,2,positive_H;negative_R,5,7,,,,6.0,1994.0
NHERF2,2,negative_R;PKH26_High_vs_G1,,4,,,13,8.5,1991.5
SYNJ2,2,negative_R;PKH26_High_vs_G1,,13,,,11,12.0,1988.0
LTBP1,2,negative_R;PKH26_High_vs_G1,,17,,,8,12.5,1987.5
CLU,2,malignant_reservoir;PKH26_High_vs_G1,,,12,,17,14.5,1985.5
NDRG1,2,negative_R;PKH26_High_vs_G1,,19,,,15,17.0,1983.0
MLPH,2,negative_R;PKH26_High_vs_G1,,12,,,24,18.0,1982.0
S100A4,2,negative_R;PKH26_High_vs_G1,,21,,,21,21.0,1979.0
CSF1,2,unstable_committed_malignant;PKH26_High_vs_G1,,,,21,22,21.5,1978.5
MORC4,2,malignant_reservoir;PKH26_High_vs_G1,,,23,,23,23.0,1977.0
TNFRSF21,2,negative_R;PKH26_High_vs_G1,,32,,,16,24.0,1976.0
NINJ1,2,malignant_reservoir;unstable_committed_malignant,,,18,33,,25.5,1974.5
COL18A1,2,negative_R;PKH26_High_vs_G1,,26,,,30,28.0,1972.0
DSTN,2,positive_H;negative_R,18,38,,,,28.0,1972.0
TBC1D9B,2,unstable_committed_malignant;PKH26_High_vs_G1,,,,11,46,28.5,1971.5
ETV1,2,negative_R;PKH26_High_vs_G1,,48,,,10,29.0,1971.0
TCF25,2,negative_R;malignant_reservoir,,35,28,,,31.5,1968.5
S100A6,2,positive_H;negative_R,38,27,,,,32.5,1967.5
CAVIN3,2,negative_R;PKH26_High_vs_G1,,39,,,29,34.0,1966.0
TRIB2,2,unstable_committed_malignant;PKH26_High_vs_G1,,,,20,49,34.5,1965.5
PHC2,2,negative_R;PKH26_High_vs_G1,,42,,,28,35.0,1965.0
NDUFA13,2,positive_H;negative_R,21,50,,,,35.5,1964.5
PXDN,2,negative_R;PKH26_High_vs_G1,,36,,,36,36.0,1964.0
H2BC12,2,malignant_reservoir;PKH26_High_vs_G1,,,33,,44,38.5,1961.5
TANC2,2,negative_R;unstable_committed_malignant,,43,,34,,38.5,1961.5
TM7SF2,1,malignant_reservoir,,,1,,,1.0,999.0
BCR,1,unstable_committed_malignant,,,,2,,2.0,998.0
MIF,1,positive_H,2,,,,,2.0,998.0
CD82,1,unstable_committed_malignant,,,,3,,3.0,997.0
MYL6,1,positive_H,3,,,,,3.0,997.0
