gene_symbol,n_lists_present,present_in_lists,mean_rank_across_present_lists,priority_score,corr_H,corr_S,corr_M,corr_R,malignant_reservoir_logfc,unstable_committed_logfc,stable_recoverable_logfc,PKH26_High_vs_G1_logfc,interpretation_tags
SLCO4A1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,4.333333333333333,2995.6666666666665,0.4082882430429903,-0.4283546401204254,0.5224022012395815,-0.5552587838519351,2.0256935070782216,1.3565465175937943,-4.871614889971365,3.7861474516984206,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
MARCKSL1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,6.333333333333333,2993.6666666666665,0.3867774078531525,-0.2807153280262138,0.4472544846949016,-0.4636580214947381,2.518145320748852,1.1857257427643475,-2.896856575475216,3.1672674980397835,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
LGALS3BP,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,7.666666666666667,2992.333333333333,0.4233690967540734,-0.3537119945457099,0.4993687533594,-0.490802868525705,1.8751044471600768,1.3599985523986962,-4.010927861019189,3.809639837320975,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
ABR,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,9.666666666666666,2990.333333333333,0.4729784563582719,-0.2357163783605539,0.5366168891739983,-0.41962986746658,0.92938834140086,2.361354216616672,-2.244301479559081,3.533191278517732,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
GALNT10,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,12.0,2988.0,0.3960680439170296,-0.2185467950005634,0.5024063337554387,-0.4057278488412901,2.085543151830364,1.2180361088804226,-3.2091870755313074,3.6762949254155592,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
COL6A1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,12.333333333333334,2987.6666666666665,0.4885605349057987,-0.5190189451486169,0.6663417076407839,-0.5710188470355363,1.6832311914976603,1.5815297468464706,-4.849973836043034,4.159789006808992,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
GSN,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,15.666666666666666,2984.333333333333,0.4051862193550862,-0.3616220529206594,0.5079544310989744,-0.3823443684101986,2.0594093013261494,1.006839447720684,-4.191893669231596,3.5939307892315404,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
FN1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,16.333333333333332,2983.6666666666665,0.3995067117530611,-0.3593449356418686,0.5019361537236788,-0.4873867955031409,1.6594196490150193,1.451174813174494,-4.360476097042596,3.515889876207579,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
ABCC3,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,17.0,2983.0,0.3852637954622768,-0.274206827219397,0.4439994624254499,-0.4328683582260605,0.836083839291782,2.0894225723297004,-1.351484212472795,2.5540316570995394,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
DDX17,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,22.0,2978.0,0.4220975324904528,-0.1269437008715535,0.4463908349828038,-0.4006551499934861,1.872288701457982,0.9236397531229424,-1.7147941034390948,2.675270186333317,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
TMEM131,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,25.0,2975.0,0.3857229020975137,-0.2857010920640733,0.3923997982435289,-0.401777843457021,0.8751061112456906,1.896499089344887,-2.388491077766467,2.389852856175993,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
MAGI1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,31.0,2969.0,0.3343957448128452,-0.2996089444266192,0.4133782650117491,-0.3954261376070965,1.6456102704675568,0.5876613648630702,-2.77087168685446,2.650481885703293,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
ESYT2,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,33.666666666666664,2966.333333333333,0.4342878514753407,-0.2495302227504574,0.4025553316171587,-0.4190472531508589,1.4975214357327649,1.7143745705918727,-2.2473164186467587,2.2968789676877077,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
GALNT5,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,34.333333333333336,2965.6666666666665,0.2339611982030447,-0.3262375671421926,0.3417501670562497,-0.3996696764559848,1.8248426574795271,0.5754039613381892,-2.5815199886764195,2.190877848127463,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
NET1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,35.0,2965.0,0.3294788310349616,-0.0526742786197357,0.3590507088665167,-0.3682145170959398,1.6154789411233987,1.222056127799492,-2.0008912751179126,2.648840257125056,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
ARL4C,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,41.0,2959.0,0.3809929099051943,-0.1123521467766462,0.3822156389890448,-0.3659021442258215,1.6290184301611266,1.032856559004471,-1.980420014908582,2.293056620797886,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
PHLDA2,2,positive_H;negative_R,1.5,1998.5,0.7263934086728894,-0.3100846372776143,0.658291383709018,-0.56077974245565,0.6928612074580638,0.8337526427364281,-1.459956488895739,1.6234433276085047,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
GNAS,2,positive_H;negative_R,6.0,1994.0,0.6414363627159684,-0.3257745680513448,0.5490098577668098,-0.4689173969703625,0.718788510135572,0.46671050884032,-0.937300662165434,1.0906640135754335,high_H;high_M;low_R;reservoir_enriched;stable_recoverable_depleted
NHERF2,2,negative_R;PKH26_High_vs_G1,8.5,1991.5,0.4976768078197498,-0.3048266798533473,0.5349983530725739,-0.5089326233063275,1.23834011591254,0.9760443605433968,-2.80247278642662,2.908676081727284,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
