direction,chromosome,flag_n,background_n,in_chr_and_flag,in_chr_and_background,outside_chr_and_flag,outside_chr_and_background,frac_flag_in_chr,frac_background_in_chr,fisher_odds_ratio,fisher_p_value,rank_by_p_value
higher_in_a,4,156,4844,18,251,138,4593,0.11538461538461539,0.051816680429397195,2.386800623592586,0.0017738720771244808,1
higher_in_a,7,156,4844,21,326,135,4518,0.1346153846153846,0.06729975227085054,2.1558282208588957,0.003283237283091686,2
higher_in_a,11,156,4844,12,183,144,4661,0.07692307692307693,0.03777869529314616,2.1224954462659382,0.019860619567952837,3
higher_in_a,2,156,4844,7,441,149,4403,0.04487179487179487,0.09104046242774566,0.4690529455630127,0.04566773898324007,4
higher_in_a,3,156,4844,3,246,153,4598,0.019230769230769232,0.05078447563996697,0.36649131197194323,0.08926463598254174,5
higher_in_a,15,156,4844,2,159,154,4685,0.01282051282051282,0.03282411230388109,0.3826676468185902,0.24376165372475184,6
higher_in_a,5,156,4844,16,379,140,4465,0.10256410256410256,0.0782411230388109,1.3464003015454202,0.2885501293563791,7
higher_in_a,18,156,4844,1,94,155,4750,0.00641025641025641,0.019405450041288193,0.3260123541523679,0.3712552394196047,8
higher_in_a,20,156,4844,1,97,155,4747,0.00641025641025641,0.020024772914946327,0.3157299634186897,0.37340653424651754,9
higher_in_a,21,156,4844,0,48,156,4796,0.0,0.00990916597853014,0.0,0.40465800654167416,10
higher_in_a,22,156,4844,0,56,156,4788,0.0,0.011560693641618497,0.0,0.42154227019270774,11
higher_in_a,13,156,4844,2,135,154,4709,0.01282051282051282,0.02786952931461602,0.453006253006253,0.44743085251189496,12
higher_in_a,14,156,4844,3,154,153,4690,0.019230769230769232,0.031791907514450865,0.5971479500891266,0.4887409809952222,13
higher_in_a,19,156,4844,7,181,149,4663,0.04487179487179487,0.037365813377374074,1.2103155474804406,0.5253687934240802,14
higher_in_a,1,156,4844,11,424,145,4420,0.07051282051282051,0.0875309661436829,0.7908262849707222,0.5634800519120247,15
higher_in_a,6,156,4844,14,390,142,4454,0.08974358974358974,0.0805119735755574,1.1259660527266162,0.6537855482684343,16
higher_in_a,12,156,4844,7,267,149,4577,0.04487179487179487,0.055119735755573905,0.8053439911519996,0.7211281300463585,17
higher_in_a,10,156,4844,12,349,144,4495,0.07692307692307693,0.07204789430222956,1.0733046800382045,0.7537925036212252,18
higher_in_a,16,156,4844,4,160,152,4684,0.02564102564102564,0.03303055326176713,0.7703947368421052,0.8191318779002995,19
higher_in_a,17,156,4844,7,251,149,4593,0.04487179487179487,0.051816680429397195,0.8596753923901709,0.8544447937967644,20
higher_in_a,8,156,4844,6,187,150,4657,0.038461538461538464,0.038604459124690335,0.9961497326203208,1.0,21
higher_in_a,9,156,4844,2,66,154,4778,0.01282051282051282,0.013625103220478944,0.940181031090122,1.0,22
